,Rank,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,LongURL,TinyURL,Label
0,1,0,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1,1,0,1
2,1,0,1,0,0,0,1,1,0,1
3,1,1,0,0,0,0,1,0,0,0
4,1,1,0,0,0,0,1,1,0,1
5,1,0,1,0,0,0,1,0,0,1
6,1,1,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,1,0,0,0
10,1,1,0,0,0,0,1,0,0,0
11,0,0,1,0,0,0,1,0,1,1
12,1,0,1,0,0,1,1,1,0,1
13,0,0,1,0,0,0,0,0,1,0
14,1,1,0,0,0,0,1,1,0,1
15,0,0,1,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0
17,1,0,1,0,0,0,0,1,0,1
18,1,0,1,0,0,0,0,0,0,0
19,1,0,1,0,0,1,1,1,0,1
20,1,0,1,0,0,0,1,0,0,1
21,1,0,1,0,0,1,1,1,1,1
22,1,1,0,0,0,0,1,0,0,1
23,1,1,0,0,0,0,1,1,1,1
24,1,0,1,0,0,0,0,1,0,1
25,1,1,0,0,0,0,0,0,0,1
26,0,1,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,1,1,0,1
28,1,1,0,0,0,0,1,1,0,1
29,1,0,1,0,0,0,1,0,0,1
30,1,1,0,0,0,0,0,0,0,0
31,0,1,0,0,0,0,1,0,0,0
32,1,0,1,0,0,0,1,0,0,1
33,0,0,1,0,0,0,1,0,0,0
34,1,1,0,0,0,0,0,0,0,0
35,1,0,1,0,0,0,0,0,0,0
36,1,0,1,0,0,1,1,0,0,1
37,1,0,1,0,0,0,0,1,0,1
38,1,0,1,0,0,0,0,0,0,1
39,0,1,0,0,0,0,0,0,0,0
40,1,1,0,0,0,0,1,0,0,0
41,1,1,0,0,0,0,1,1,0,1
42,0,1,0,0,0,0,1,0,0,0
43,1,0,1,0,0,0,1,1,1,1
44,0,1,0,0,0,0,1,0,0,0
45,1,1,0,0,0,0,1,1,0,1
46,1,1,0,0,0,0,0,0,0,1
47,0,1,0,0,0,0,1,1,1,0
48,0,1,0,0,0,0,1,1,1,0
49,1,1,0,0,0,0,1,1,1,1
50,1,1,0,0,0,0,1,0,0,0
51,1,1,0,0,0,0,0,0,0,0
52,1,1,0,0,0,0,1,0,0,1
53,0,0,1,0,0,0,0,0,0,0
54,0,1,0,0,0,0,1,1,0,1
55,0,1,0,0,0,0,0,0,0,0
56,0,0,1,0,0,0,0,0,0,0
57,1,1,0,0,0,0,0,1,0,0
58,0,1,0,0,0,0,1,1,0,0
59,1,1,0,0,0,0,1,1,0,1
60,1,0,1,0,0,0,0,0,0,1
61,1,1,0,0,0,0,0,0,0,0
62,1,0,1,0,0,1,1,1,0,1
63,0,1,0,0,0,0,1,0,0,1
64,1,1,0,0,0,0,0,0,0,0
65,1,0,1,0,0,1,0,1,0,1
66,1,0,1,0,0,0,1,0,0,1
67,1,0,1,0,0,0,1,1,0,1
68,1,0,1,0,0,0,0,1,0,1
69,1,0,1,0,0,0,1,0,0,0
70,0,1,0,0,0,0,0,1,0,0
71,1,0,1,0,0,0,0,0,0,1
72,0,1,0,0,0,0,0,0,0,1
73,0,0,1,0,0,0,1,0,0,0
74,0,1,0,0,0,0,1,0,0,0
75,0,1,0,0,0,0,1,0,0,1
76,0,0,1,0,0,0,0,0,0,0
77,0,0,1,0,0,0,1,0,0,0
78,0,1,0,0,0,0,0,0,0,0
79,1,0,1,0,0,0,0,0,0,1
80,0,1,0,0,0,0,1,1,0,0
81,1,1,0,0,0,0,1,0,0,1
82,0,1,0,0,0,0,0,0,0,0
83,0,1,0,0,0,0,1,0,0,0
84,1,0,1,0,0,0,1,1,0,1
85,0,1,0,0,0,1,1,1,0,1
86,1,1,0,0,0,0,0,0,0,1
87,1,1,0,0,0,0,1,1,0,1
88,1,1,0,0,0,1,1,1,0,1
89,0,1,0,0,0,1,1,1,0,1
90,1,1,0,0,0,0,1,0,0,0
91,1,1,0,0,0,0,0,0,0,1
92,1,0,1,0,0,0,1,1,0,1
93,1,1,0,0,0,0,0,1,0,0
94,0,0,1,0,0,0,0,0,0,0
95,0,0,1,0,0,1,0,0,0,0
96,1,0,1,0,0,1,1,1,0,1
97,0,0,1,0,0,0,1,1,0,0
98,0,1,0,0,0,0,0,0,0,0
99,1,0,1,0,0,0,0,1,0,1
100,1,0,1,0,0,1,1,1,0,1
101,1,0,1,0,0,0,1,1,0,1
102,0,1,0,0,0,1,1,1,0,1
103,1,1,0,0,0,0,1,1,0,1
104,1,0,1,0,0,0,1,0,0,1
105,1,1,0,0,0,1,0,0,0,1
106,1,1,0,0,0,0,1,1,1,1
107,1,1,0,0,0,0,1,0,0,0
108,1,1,0,0,0,0,1,0,0,0
109,0,1,0,0,0,0,1,1,1,1
110,0,1,0,0,0,0,0,1,0,1
111,1,0,1,0,0,0,1,1,0,1
112,0,1,0,0,0,0,1,0,0,0
113,1,0,1,0,0,1,0,1,0,1
114,0,1,0,0,0,0,0,1,0,0
115,1,0,1,0,0,0,0,0,0,0
116,1,1,0,0,0,0,0,0,0,0
117,1,0,1,0,0,0,0,1,0,1
118,1,1,0,0,0,0,1,1,0,1
119,1,0,1,0,0,0,0,1,0,1
120,1,0,1,0,0,0,1,1,0,1
121,0,1,0,0,0,1,1,1,0,1
122,0,0,1,0,0,0,1,0,0,0
123,1,0,1,0,0,0,1,0,0,0
124,1,1,0,0,0,0,1,0,0,0
125,1,0,1,0,0,0,0,0,0,0
126,0,1,0,0,0,0,1,0,0,0
127,1,0,1,0,0,0,1,1,0,1
128,1,0,1,0,0,0,0,0,0,1
129,1,1,0,0,0,1,0,0,0,0
130,1,0,1,0,0,0,1,0,0,1
131,1,1,0,0,0,0,1,0,0,0
132,0,1,0,0,0,1,1,1,0,1
133,0,1,0,0,0,0,0,0,0,0
134,1,0,1,0,0,0,0,0,0,0
135,1,0,1,0,0,0,0,0,0,0
136,0,0,1,0,0,0,0,1,0,0
137,1,1,0,0,0,0,0,1,0,1
138,0,1,0,0,0,0,1,0,0,0
139,1,1,0,0,0,0,1,0,0,1
140,1,0,1,0,0,1,1,1,0,1
141,1,1,0,0,0,0,0,0,0,0
142,0,1,0,0,0,0,0,0,0,0
143,1,1,0,0,0,0,1,1,0,1
144,1,1,0,0,0,0,0,0,0,1
145,1,0,1,0,0,0,0,0,0,1
146,1,0,1,0,0,0,1,0,0,1
147,1,0,1,0,0,0,1,1,0,1
148,0,1,0,0,0,0,0,1,0,0
149,1,0,1,0,0,0,1,1,0,1
150,1,1,0,0,0,0,1,0,0,1
151,1,0,1,0,0,0,1,0,0,0
152,1,0,1,0,0,0,1,1,0,1
153,1,1,0,0,0,0,0,0,0,1
154,1,1,0,0,0,1,0,0,0,0
155,1,1,0,0,0,0,1,1,0,1
156,0,1,0,0,0,0,1,0,0,0
157,0,1,0,0,0,0,1,0,0,0
158,1,1,0,0,0,0,0,1,1,1
159,0,1,0,0,0,0,0,0,0,0
160,1,1,0,0,0,0,1,1,0,1
161,1,1,0,0,0,0,0,0,0,0
162,0,1,0,0,0,0,0,0,0,1
163,1,0,1,0,0,0,0,0,0,1
164,1,1,0,0,0,0,1,1,0,1
165,1,1,0,0,0,1,0,0,0,0
166,0,1,0,0,0,0,0,0,0,0
167,1,1,0,0,0,1,1,1,0,1
168,0,1,0,0,0,0,0,0,0,0
169,1,1,0,0,0,0,0,0,0,0
170,0,1,0,0,0,0,0,1,0,0
